Tàrrega;84.6267;127.2205
Cervera;95.9875;129.7251
Calaf;116.159;135.3539
Mollerussa;64.6973;125.7357
Balaguer;58.2114;143.5259
Santa Linya;61.7547;159.2783
La Pobla de Segur;71.9227;193.7736
Manresa (rodalies);143.2296;134.3847
Gavà;153.6765;84.053
Aeroport del Prat;162.2196;87.5685
Sant Boi;159.153;92.7917
Vilanova i la Geltrú;133.3612;78.4845
Manresa (mitja distància);142.1094;133.5502
Roda de Barà;110.5254;75.0857
Sant Vicenç de Calders;115.467;75.0314
Lleida-Pirineus;42.0591;125.6863
Vila-Seca;83.8349;68.3948
Salou;78.5471;63.0118
L'Ametlla de Mar;58.3563;47.6585
Reus;80.2841;73.3052
Riba-Roja d'Ebre;28.9526;84.5916
Móra la Nova;42.6207;67.7914
Pradell;55.8113;70.2315
Camarles-Deltebre;48.2902;36.4285
Montblanc;86.4513;97.4371
L'Espluga de Francolí;80.6961;99.5796
Les Borges Blanques;62.8641;113.5011
La Plana Picamoixons;88.7577;88.9017
Camp-Redó;34.7618;28.9087
Ulldecona;24.4195;12.1948
Tarragona;92.4944;66.7883
Vilafranca del Penedès;130.9877;92.1782
Igualada;125.9515;118.1606
Piera;136.1491;111.9965
Martorell-Enllaç;149.1374;107.9718
Granollers centre;180.8134;120.9232
Sant Martí de Centelles;177.0324;138.4826
Sant Celoni;196.975;129.0146
Granollers-Canovelles;181.0699;124.303
Martorell;150.3946;107.2315
Sabadell;164.7077;113.869
Sabadell-Rambla;164.5102;113.7921
Montcada Bifurcació;171.6901;107.8067
Terrassa-Rambla;157.6342;115.3564
Sant Cugat;162.6725;105.4551
Rubí;158.8211;107.7536
Terrassa;158.0215;117.147
Vic;177.5764;156.5693
Mataró;193.3311;112.5604
Calella;209.4522;120.7323
Maçanet-Massanes;212.4807;138.6774
Ocata;183.1998;106.9065
Sant Feliu de Llobregat;160.1848;96.1288
Sants-Estació;168.7199;96.3014
Sagrera;172.9435;101.3393
Girona;224.8261;162.5497
Ribes de Freser;171.0428;198.2823
Ripoll;173.2736;186.3845
Torelló;178.9665;170.611
Puigcerdà;151.3035;212.2309
Camallera;236.872;177.8762
Figueres;237.5109;193.6472
Portbou;252.6192;211.9164